,Ano,Mes,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
194,2012,May,Caldas,5580489,61965481,5580,May 2012
195,2012,May,Quindio,2840108,26245992,2840,May 2012
196,2012,May,Risaralda,7190583,64800962,7191,May 2012
197,2012,May,Tolima,2791116,27914227,2791,May 2012
198,2012,Nov,Antioquia,4273452,47983019,4273,Nov 2012
199,2012,Nov,Bogota,2220985,17803229,2221,Nov 2012
200,2012,Nov,Caldas,5863865,57465598,5864,Nov 2012
201,2012,Nov,Quindio,2288353,17245171,2288,Nov 2012
202,2012,Nov,Risaralda,5680974,41538023,5681,Nov 2012
203,2012,Nov,Tolima,2243900,19388425,2244,Nov 2012
204,2012,Oct,Antioquia,2661222,34033584,2661,Oct 2012
205,2012,Oct,Bogota,1937330,15499856,1937,Oct 2012
206,2012,Oct,Caldas,7496576,74147789,7497,Oct 2012
207,2012,Oct,Quindio,3597768,28370569,3598,Oct 2012
208,2012,Oct,Risaralda,6555940,50262758,6556,Oct 2012
209,2012,Oct,Tolima,2910289,25928993,2910,Oct 2012
210,2012,Sep,Antioquia,2741657,36464270,2742,Sep 2012
211,2012,Sep,Bogota,2177540,18016996,2178,Sep 2012
212,2012,Sep,Caldas,5470555,52857244,5471,Sep 2012
213,2012,Sep,Quindio,3201214,25578943,3201,Sep 2012
214,2012,Sep,Risaralda,4921466,38896360,4921,Sep 2012
215,2012,Sep,Tolima,1347340,13038887,1347,Sep 2012
216,2013,Apr,Antioquia,7240821,62112800,7241,Apr 2013
217,2013,Apr,Bogota,2497310,19756044,2497,Apr 2013
218,2013,Apr,Caldas,7372836,65435409,7373,Apr 2013
219,2013,Apr,Quindio,4451181,29560921,4451,Apr 2013
220,2013,Apr,Risaralda,6426092,44057872,6426,Apr 2013
221,2013,Apr,Tolima,2105305,20638923,2105,Apr 2013
222,2013,Aug,Antioquia,7400782,60970359,7401,Aug 2013
223,2013,Aug,Bogota,4946016,33393147,4946,Aug 2013
224,2013,Aug,Caldas,7600677,68616483,7601,Aug 2013
225,2013,Aug,Quindio,6343061,41448499,6343,Aug 2013
226,2013,Aug,Risaralda,4738800,28949192,4739,Aug 2013
227,2013,Aug,Tolima,2904274,22316410,2904,Aug 2013
228,2013,Dec,Antioquia,10054666,69251008,10055,Dec 2013
229,2013,Dec,Bogota,5102944,30103223,5103,Dec 2013
230,2013,Dec,Caldas,10566623,76924114,10567,Dec 2013
231,2013,Dec,Quindio,7373275,40516258,7373,Dec 2013
232,2013,Dec,Risaralda,8972575,49228585,8973,Dec 2013
233,2013,Dec,Tolima,1743785,11965468,1744,Dec 2013
234,2013,Jan,Antioquia,6910622,57712269,6911,Jan 2013
235,2013,Jan,Bogota,3020032,20872579,3020,Jan 2013
236,2013,Jan,Caldas,8055595,75633115,8056,Jan 2013
237,2013,Jan,Quindio,3232898,22762235,3233,Jan 2013
238,2013,Jan,Risaralda,7294489,50010904,7294,Jan 2013
239,2013,Jan,Tolima,1136824,10705643,1137,Jan 2013
240,2013,Feb,Antioquia,8293813,71263056,8294,Feb 2013
241,2013,Feb,Bogota,4231252,29665467,4231,Feb 2013
242,2013,Feb,Caldas,7558419,72595083,7558,Feb 2013
243,2013,Feb,Quindio,2147515,17562093,2147,Feb 2013
244,2013,Feb,Risaralda,5193836,36002985,5194,Feb 2013
245,2013,Feb,Tolima,2369031,20181978,2369,Feb 2013
246,2013,Jul,Antioquia,7431387,67495776,7431,Jul 2013
247,2013,Jul,Bogota,3815126,26578559,3815,Jul 2013
248,2013,Jul,Caldas,5414771,44123631,5415,Jul 2013
249,2013,Jul,Quindio,6808164,43610880,6808,Jul 2013
250,2013,Jul,Risaralda,5621478,36603760,5621,Jul 2013
251,2013,Jul,Tolima,2686721,24248689,2687,Jul 2013
252,2013,Jun,Antioquia,7808604,62953342,7809,Jun 2013
253,2013,Jun,Bogota,3281833,23380941,3282,Jun 2013
254,2013,Jun,Caldas,6076225,53277619,6076,Jun 2013
255,2013,Jun,Quindio,4052272,28014800,4052,Jun 2013
256,2013,Jun,Risaralda,5520588,38942234,5521,Jun 2013
257,2013,Jun,Tolima,1778327,17782037,1778,Jun 2013
258,2013,Mar,Antioquia,6746063,58954115,6746,Mar 2013
259,2013,Mar,Bogota,2645865,18158688,2646,Mar 2013
260,2013,Mar,Caldas,5231029,45910231,5231,Mar 2013
261,2013,Mar,Quindio,1753950,13338554,1754,Mar 2013
262,2013,Mar,Risaralda,5059654,35283959,5060,Mar 2013
263,2013,Mar,Tolima,1457420,11621982,1457,Mar 2013
264,2013,May,Antioquia,7659664,60876090,7660,May 2013
265,2013,May,Bogota,3631121,25598898,3631,May 2013
266,2013,May,Caldas,8544033,76220076,8544,May 2013
267,2013,May,Quindio,4639948,29813834,4640,May 2013
268,2013,May,Risaralda,6935527,48838115,6936,May 2013
269,2013,May,Tolima,2269105,20978322,2269,May 2013
270,2013,Nov,Antioquia,5613193,47036467,5613,Nov 2013
271,2013,Nov,Bogota,4975136,28678125,4975,Nov 2013
272,2013,Nov,Caldas,10280342,72168129,10280,Nov 2013
273,2013,Nov,Quindio,4466588,25051452,4467,Nov 2013
274,2013,Nov,Risaralda,10458341,59219948,10458,Nov 2013
275,2013,Nov,Tolima,2846253,17802237,2846,Nov 2013
276,2013,Oct,Antioquia,3510980,34569878,3511,Oct 2013
277,2013,Oct,Bogota,5058100,31824910,5058,Oct 2013
278,2013,Oct,Caldas,8207923,62012099,8208,Oct 2013
279,2013,Oct,Quindio,6751944,38826934,6752,Oct 2013
280,2013,Oct,Risaralda,5234408,30012982,5234,Oct 2013
281,2013,Oct,Tolima,2253369,16150938,2253,Oct 2013
282,2013,Sep,Antioquia,4259503,40840840,4260,Sep 2013
283,2013,Sep,Bogota,2313451,15381053,2313,Sep 2013
284,2013,Sep,Caldas,7297425,58369473,7297,Sep 2013
285,2013,Sep,Quindio,5746774,36652698,5747,Sep 2013
286,2013,Sep,Risaralda,8927398,53460367,8927,Sep 2013
287,2013,Sep,Tolima,2500111,19695179,2500,Sep 2013
288,2014,Apr,Antioquia,9802934,83557181,9803,Apr 2014
289,2014,Apr,Bogota,5176775,39986320,5177,Apr 2014
290,2014,Apr,Caldas,11237630,106306240,11238,Apr 2014
291,2014,Apr,Quindio,5469981,35505183,5470,Apr 2014
292,2014,Apr,Risaralda,10716238,76317817,10716,Apr 2014
293,2014,Apr,Tolima,1615575,13826246,1616,Apr 2014
294,2014,Aug,Antioquia,4708351,50073861,4708,Aug 2014
295,2014,Aug,Bogota,2144460,18591758,2144,Aug 2014
296,2014,Aug,Caldas,8649223,87280359,8649,Aug 2014
297,2014,Aug,Quindio,5900352,49700161,5900,Aug 2014
298,2014,Aug,Risaralda,8383572,65800098,8384,Aug 2014
299,2014,Aug,Tolima,3521920,30469985,3522,Aug 2014
300,2014,Dec,Antioquia,6754469,86157927,6754,Dec 2014
301,2014,Dec,Bogota,4891501,51924231,4891,Dec 2014
302,2014,Dec,Caldas,5680448,68444214,5680,Dec 2014
303,2014,Dec,Quindio,5320861,53796507,5321,Dec 2014
304,2014,Dec,Risaralda,11170402,112931101,11170,Dec 2014
305,2014,Dec,Tolima,2655455,29710589,2655,Dec 2014
306,2014,Jan,Antioquia,6647199,47471594,6647,Jan 2014
307,2014,Jan,Bogota,1029560,6418389,1030,Jan 2014
308,2014,Jan,Caldas,8927094,72575309,8927,Jan 2014
309,2014,Jan,Quindio,5419075,30143350,5419,Jan 2014
310,2014,Jan,Risaralda,9431859,50142527,9432,Jan 2014
311,2014,Jan,Tolima,2187493,14052878,2188,Jan 2014
312,2014,Feb,Antioquia,7572918,53682528,7573,Feb 2014
313,2014,Feb,Bogota,9158941,53417758,9159,Feb 2014
314,2014,Feb,Caldas,10754577,78487431,10755,Feb 2014
315,2014,Feb,Quindio,6698424,38557659,6698,Feb 2014
316,2014,Feb,Risaralda,12383871,70946213,12384,Feb 2014
317,2014,Feb,Tolima,3297518,21825420,3298,Feb 2014
318,2014,Jul,Antioquia,5026473,50619703,5026,Jul 2014
319,2014,Jul,Bogota,5243503,41788847,5244,Jul 2014
320,2014,Jul,Caldas,8377029,78731248,8377,Jul 2014
321,2014,Jul,Quindio,5126582,40296891,5127,Jul 2014
322,2014,Jul,Risaralda,9494134,73768910,9494,Jul 2014
323,2014,Jul,Tolima,3830554,30692797,3831,Jul 2014
324,2014,Jun,Antioquia,4391314,50192688,4391,Jun 2014
325,2014,Jun,Bogota,3129516,26838270,3129,Jun 2014
326,2014,Jun,Caldas,6145564,57658644,6146,Jun 2014
327,2014,Jun,Quindio,4969441,40742446,4969,Jun 2014
328,2014,Jun,Risaralda,4908184,38870235,4908,Jun 2014
329,2014,Jun,Tolima,2920891,25783504,2921,Jun 2014
330,2014,Mar,Antioquia,6917637,61262462,6918,Mar 2014
331,2014,Mar,Bogota,4967138,35737955,4967,Mar 2014
332,2014,Mar,Caldas,7173895,58754053,7174,Mar 2014
333,2014,Mar,Quindio,3791654,23707628,3792,Mar 2014
334,2014,Mar,Risaralda,6302276,40163898,6302,Mar 2014
335,2014,Mar,Tolima,2177920,18257493,2178,Mar 2014
336,2014,May,Antioquia,5553059,57429792,5553,May 2014
